k,cum_energy
1.000000,0.266306
2.000000,0.434364
3.000000,0.517880
4.000000,0.569142
5.000000,0.601633
6.000000,0.631083
7.000000,0.658395
8.000000,0.678524
9.000000,0.697022
10.000000,0.712264
11.000000,0.726568
12.000000,0.740236
13.000000,0.751357
14.000000,0.762291
15.000000,0.772599
16.000000,0.781746
17.000000,0.789770
18.000000,0.797096
19.000000,0.803781
20.000000,0.810028
21.000000,0.815729
22.000000,0.821206
23.000000,0.826285
24.000000,0.831298
25.000000,0.835876
26.000000,0.840085
27.000000,0.844061
28.000000,0.847983
29.000000,0.851723
30.000000,0.855215
31.000000,0.858592
32.000000,0.861933
33.000000,0.865058
34.000000,0.867971
35.000000,0.870849
36.000000,0.873638
37.000000,0.876214
38.000000,0.878719
39.000000,0.881143
40.000000,0.883439
41.000000,0.885719
42.000000,0.887984
43.000000,0.890184
44.000000,0.892273
45.000000,0.894306
46.000000,0.896330
47.000000,0.898341
48.000000,0.900274
49.000000,0.902164
50.000000,0.903951
51.000000,0.905719
52.000000,0.907422
53.000000,0.909054
54.000000,0.910588
55.000000,0.912088
56.000000,0.913550
57.000000,0.915004
58.000000,0.916425
59.000000,0.917815
60.000000,0.919118
61.000000,0.920388
62.000000,0.921638
63.000000,0.922841
64.000000,0.924018
65.000000,0.925156
66.000000,0.926271
67.000000,0.927367
68.000000,0.928439
69.000000,0.929500
70.000000,0.930548
71.000000,0.931552
72.000000,0.932542
73.000000,0.933510
74.000000,0.934463
75.000000,0.935397
76.000000,0.936299
77.000000,0.937192
78.000000,0.938077
79.000000,0.938939
80.000000,0.939783
81.000000,0.940593
82.000000,0.941393
83.000000,0.942178
84.000000,0.942958
85.000000,0.943722
86.000000,0.944472
87.000000,0.945211
88.000000,0.945926
89.000000,0.946630
90.000000,0.947325
91.000000,0.948014
92.000000,0.948680
93.000000,0.949330
94.000000,0.949974
95.000000,0.950611
96.000000,0.951238
97.000000,0.951849
98.000000,0.952452
99.000000,0.953047
100.000000,0.953633
101.000000,0.954198
102.000000,0.954761
103.000000,0.955310
104.000000,0.955855
105.000000,0.956392
106.000000,0.956922
107.000000,0.957448
108.000000,0.957971
109.000000,0.958488
110.000000,0.958991
111.000000,0.959484
112.000000,0.959972
113.000000,0.960456
114.000000,0.960930
115.000000,0.961398
116.000000,0.961855
117.000000,0.962306
118.000000,0.962755
119.000000,0.963197
120.000000,0.963636
121.000000,0.964057
122.000000,0.964474
123.000000,0.964890
124.000000,0.965301
125.000000,0.965708
126.000000,0.966109
127.000000,0.966507
128.000000,0.966902
129.000000,0.967290
130.000000,0.967673
131.000000,0.968053
132.000000,0.968427
133.000000,0.968797
134.000000,0.969161
135.000000,0.969524
136.000000,0.969883
137.000000,0.970231
138.000000,0.970575
139.000000,0.970915
140.000000,0.971253
141.000000,0.971584
142.000000,0.971913
143.000000,0.972238
144.000000,0.972561
145.000000,0.972880
146.000000,0.973196
147.000000,0.973508
148.000000,0.973817
149.000000,0.974119
150.000000,0.974417
151.000000,0.974709
152.000000,0.974999
153.000000,0.975288
154.000000,0.975574
155.000000,0.975855
156.000000,0.976130
157.000000,0.976401
158.000000,0.976670
159.000000,0.976937
160.000000,0.977203
161.000000,0.977465
162.000000,0.977723
163.000000,0.977980
164.000000,0.978233
165.000000,0.978483
166.000000,0.978731
167.000000,0.978977
168.000000,0.979220
169.000000,0.979461
170.000000,0.979700
171.000000,0.979936
172.000000,0.980167
173.000000,0.980393
174.000000,0.980618
175.000000,0.980841
176.000000,0.981061
177.000000,0.981279
178.000000,0.981495
179.000000,0.981709
180.000000,0.981920
181.000000,0.982131
182.000000,0.982339
183.000000,0.982543
184.000000,0.982746
185.000000,0.982947
186.000000,0.983145
187.000000,0.983342
188.000000,0.983537
189.000000,0.983729
190.000000,0.983919
191.000000,0.984108
192.000000,0.984294
193.000000,0.984479
194.000000,0.984662
195.000000,0.984843
196.000000,0.985022
197.000000,0.985199
198.000000,0.985374
199.000000,0.985548
200.000000,0.985720
201.000000,0.985890
202.000000,0.986059
203.000000,0.986227
204.000000,0.986393
205.000000,0.986557
206.000000,0.986719
207.000000,0.986881
208.000000,0.987042
209.000000,0.987198
210.000000,0.987353
211.000000,0.987507
212.000000,0.987658
213.000000,0.987809
214.000000,0.987957
215.000000,0.988105
216.000000,0.988252
217.000000,0.988397
218.000000,0.988540
219.000000,0.988682
220.000000,0.988822
221.000000,0.988960
222.000000,0.989096
223.000000,0.989232
224.000000,0.989366
225.000000,0.989500
226.000000,0.989631
227.000000,0.989762
228.000000,0.989890
229.000000,0.990017
230.000000,0.990142
231.000000,0.990267
232.000000,0.990391
233.000000,0.990514
234.000000,0.990636
235.000000,0.990756
236.000000,0.990876
237.000000,0.990994
238.000000,0.991110
239.000000,0.991223
240.000000,0.991335
241.000000,0.991448
242.000000,0.991558
243.000000,0.991668
244.000000,0.991777
245.000000,0.991885
246.000000,0.991993
247.000000,0.992098
248.000000,0.992203
249.000000,0.992307
250.000000,0.992410
251.000000,0.992512
252.000000,0.992613
253.000000,0.992713
254.000000,0.992812
255.000000,0.992910
256.000000,0.993007
257.000000,0.993103
258.000000,0.993198
259.000000,0.993291
260.000000,0.993384
261.000000,0.993476
262.000000,0.993567
263.000000,0.993658
264.000000,0.993748
265.000000,0.993837
266.000000,0.993925
267.000000,0.994012
268.000000,0.994099
269.000000,0.994184
270.000000,0.994268
271.000000,0.994353
272.000000,0.994435
273.000000,0.994517
274.000000,0.994597
275.000000,0.994677
276.000000,0.994757
277.000000,0.994835
278.000000,0.994913
279.000000,0.994990
280.000000,0.995066
281.000000,0.995142
282.000000,0.995216
283.000000,0.995290
284.000000,0.995364
285.000000,0.995437
286.000000,0.995509
287.000000,0.995580
288.000000,0.995650
289.000000,0.995719
290.000000,0.995788
291.000000,0.995856
292.000000,0.995923
293.000000,0.995989
294.000000,0.996055
295.000000,0.996120
296.000000,0.996184
297.000000,0.996248
298.000000,0.996312
299.000000,0.996374
300.000000,0.996436
301.000000,0.996497
302.000000,0.996557
303.000000,0.996618
304.000000,0.996677
305.000000,0.996736
306.000000,0.996793
307.000000,0.996851
308.000000,0.996908
309.000000,0.996964
310.000000,0.997020
311.000000,0.997076
312.000000,0.997130
313.000000,0.997183
314.000000,0.997236
315.000000,0.997289
316.000000,0.997341
317.000000,0.997393
318.000000,0.997445
319.000000,0.997496
320.000000,0.997546
321.000000,0.997595
322.000000,0.997644
323.000000,0.997692
324.000000,0.997739
325.000000,0.997787
326.000000,0.997834
327.000000,0.997880
328.000000,0.997926
329.000000,0.997971
330.000000,0.998016
331.000000,0.998060
332.000000,0.998104
333.000000,0.998147
334.000000,0.998191
335.000000,0.998233
336.000000,0.998274
337.000000,0.998316
338.000000,0.998357
339.000000,0.998398
340.000000,0.998437
341.000000,0.998476
342.000000,0.998516
343.000000,0.998554
344.000000,0.998592
345.000000,0.998629
346.000000,0.998666
347.000000,0.998703
348.000000,0.998739
349.000000,0.998775
350.000000,0.998811
351.000000,0.998846
352.000000,0.998880
353.000000,0.998914
354.000000,0.998947
355.000000,0.998980
356.000000,0.999012
357.000000,0.999044
358.000000,0.999076
359.000000,0.999108
360.000000,0.999139
361.000000,0.999170
362.000000,0.999200
363.000000,0.999229
364.000000,0.999258
365.000000,0.999287
366.000000,0.999315
367.000000,0.999343
368.000000,0.999371
369.000000,0.999398
370.000000,0.999424
371.000000,0.999450
372.000000,0.999476
373.000000,0.999501
374.000000,0.999526
375.000000,0.999551
376.000000,0.999575
377.000000,0.999599
378.000000,0.999622
379.000000,0.999645
380.000000,0.999668
381.000000,0.999691
382.000000,0.999712
383.000000,0.999733
384.000000,0.999754
385.000000,0.999775
386.000000,0.999795
387.000000,0.999815
388.000000,0.999834
389.000000,0.999852
390.000000,0.999869
391.000000,0.999887
392.000000,0.999903
393.000000,0.999919
394.000000,0.999934
395.000000,0.999948
396.000000,0.999962
397.000000,0.999975
398.000000,0.999989
399.000000,1.000000
400.000000,1.000000
